24,21,0,9,0,0|24,0,0,9,0,0
24,0,0,9,0,0|12,0,0,9,0,0
42,28,0,4,0,0|42,0,0,4,0,0
42,0,0,4,0,0|12,0,0,4,0,0
63,32,0,1,0,0|63,0,0,1,0,0
63,0,0,1,0,0|12,0,0,1,0,0
28,21,0,9,0,0|28,0,0,9,0,0
28,0,0,9,0,0|12,0,0,9,0,0
24,13,0,10,0,0|24,0,0,10,0,0
24,0,0,10,0,0|12,0,0,10,0,0
41,19,0,2,0,0|41,0,0,2,0,0
41,0,0,2,0,0|12,0,0,2,0,0
39,31,0,1,0,0|39,0,0,1,0,0
39,0,0,1,0,0|12,0,0,1,0,0
41,21,0,4,0,0|41,0,0,4,0,0
41,0,0,4,0,0|12,0,0,4,0,0
